component_id,grant_id,lab_name,rnsr_id,evidence_grade,review_status
780383:0,780383,,,unresolved,manual_review
757561:0,757561,,,unresolved,manual_review
759226:0,759226,,,unresolved,manual_review
780519:0,780519,,,unresolved,manual_review
741167:0,741167,,,unresolved,manual_review
742095:0,742095,,,unresolved,manual_review
742345:0,742345,,,unresolved,manual_review
742816:0,742816,,,unresolved,manual_review
756722:0,756722,,,unresolved,manual_review
757910:0,757910,,,unresolved,manual_review
758210:0,758210,,,unresolved,manual_review
758457:0,758457,,,unresolved,manual_review
758480:0,758480,,,unresolved,manual_review
758498:0,758498,,,unresolved,manual_review
758620:0,758620,,,unresolved,manual_review
758710:0,758710,,,unresolved,manual_review
758800:0,758800,,,unresolved,manual_review
758911:0,758911,,,unresolved,manual_review
759120:0,759120,,,unresolved,manual_review
759817:0,759817,,,unresolved,manual_review
780058:0,780058,,,unresolved,manual_review
756225:0,756225,,,unresolved,manual_review
756785:0,756785,,,unresolved,manual_review
757111:0,757111,,,unresolved,manual_review
757557:0,757557,,,unresolved,manual_review
757858:0,757858,,,unresolved,manual_review
757996:0,757996,,,unresolved,manual_review
758232:0,758232,,,unresolved,manual_review
758792:0,758792,,,unresolved,manual_review
758907:0,758907,,,unresolved,manual_review
759702:0,759702,,,unresolved,manual_review
767064:0,767064,,,unresolved,manual_review
757239:0,757239,,,unresolved,manual_review
757501:0,757501,,,unresolved,manual_review
757672:0,757672,,,unresolved,manual_review
758473:0,758473,,,unresolved,manual_review
758848:0,758848,,,unresolved,manual_review
759089:0,759089,,,unresolved,manual_review
759194:0,759194,,,unresolved,manual_review
759388:0,759388,,,unresolved,manual_review
759390:0,759390,,,unresolved,manual_review
772725:0,772725,,,unresolved,manual_review
757589:0,757589,,,unresolved,manual_review
757956:0,757956,,,unresolved,manual_review
758757:0,758757,,,unresolved,manual_review
758817:0,758817,,,unresolved,manual_review
770933:0,770933,,,unresolved,manual_review
771294:0,771294,,,unresolved,manual_review
771691:0,771691,,,unresolved,manual_review
771793:0,771793,,,unresolved,manual_review
771813:0,771813,,,unresolved,manual_review
771844:0,771844,,,unresolved,manual_review
771965:0,771965,,,unresolved,manual_review
772873:0,772873,,,unresolved,manual_review
789463:0,789463,,,unresolved,manual_review
790093:0,790093,,,unresolved,manual_review
790435:0,790435,,,unresolved,manual_review
758700:0,758700,,,unresolved,manual_review
759341:0,759341,,,unresolved,manual_review
759708:0,759708,,,unresolved,manual_review
759733:0,759733,,,unresolved,manual_review
787462:0,787462,,,unresolved,manual_review
757848:0,757848,,,unresolved,manual_review
757912:0,757912,,,unresolved,manual_review
759880:0,759880,,,unresolved,manual_review
770940:0,770940,,,unresolved,manual_review
771850:0,771850,,,unresolved,manual_review
772103:0,772103,,,unresolved,manual_review
772191:0,772191,,,unresolved,manual_review
772743:0,772743,,,unresolved,manual_review
780458:0,780458,,,unresolved,manual_review
771369:0,771369,,,unresolved,manual_review
785911:0,785911,,,unresolved,manual_review
757507:0,757507,,,unresolved,manual_review
758170:0,758170,,,unresolved,manual_review
771589:0,771589,,,unresolved,manual_review
787300:0,787300,,,unresolved,manual_review
757296:0,757296,,,unresolved,manual_review
758759:0,758759,,,unresolved,manual_review
758794:0,758794,,,unresolved,manual_review
759707:0,759707,,,unresolved,manual_review
768679:0,768679,,,unresolved,manual_review
770841:0,770841,,,unresolved,manual_review
771453:0,771453,,,unresolved,manual_review
771829:0,771829,,,unresolved,manual_review
772257:0,772257,,,unresolved,manual_review
772408:0,772408,,,unresolved,manual_review
772505:0,772505,,,unresolved,manual_review
772539:0,772539,,,unresolved,manual_review
772568:0,772568,,,unresolved,manual_review
772786:0,772786,,,unresolved,manual_review
773083:0,773083,,,unresolved,manual_review
786587:0,786587,,,unresolved,manual_review
786854:0,786854,,,unresolved,manual_review
787304:0,787304,,,unresolved,manual_review
788137:0,788137,,,unresolved,manual_review
788476:0,788476,,,unresolved,manual_review
790552:0,790552,,,unresolved,manual_review
758385:0,758385,,,unresolved,manual_review
770826:0,770826,,,unresolved,manual_review
771599:0,771599,,,unresolved,manual_review
772204:0,772204,,,unresolved,manual_review
772487:0,772487,,,unresolved,manual_review
786304:0,786304,,,unresolved,manual_review
787836:0,787836,,,unresolved,manual_review
787904:0,787904,,,unresolved,manual_review
788065:0,788065,,,unresolved,manual_review
788205:0,788205,,,unresolved,manual_review
788482:0,788482,,,unresolved,manual_review
788553:0,788553,,,unresolved,manual_review
803220:0,803220,,,unresolved,manual_review
804480:0,804480,,,unresolved,manual_review
771688:0,771688,,,unresolved,manual_review
773228:0,773228,,,unresolved,manual_review
785908:0,785908,,,unresolved,manual_review
786467:0,786467,,,unresolved,manual_review
786919:0,786919,,,unresolved,manual_review
788308:0,788308,,,unresolved,manual_review
788972:0,788972,,,unresolved,manual_review
804106:0,804106,,,unresolved,manual_review
825713:0,825713,,,unresolved,manual_review
825829:0,825829,,,unresolved,manual_review
804249:0,804249,,,unresolved,manual_review
825273:0,825273,,,unresolved,manual_review
772242:0,772242,,,unresolved,manual_review
787320:0,787320,,,unresolved,manual_review
787399:0,787399,,,unresolved,manual_review
787539:0,787539,,,unresolved,manual_review
788191:0,788191,,,unresolved,manual_review
788212:0,788212,,,unresolved,manual_review
788240:0,788240,,,unresolved,manual_review
788812:0,788812,,,unresolved,manual_review
788851:0,788851,,,unresolved,manual_review
788974:0,788974,,,unresolved,manual_review
789111:0,789111,,,unresolved,manual_review
802041:0,802041,,,unresolved,manual_review
803004:0,803004,,,unresolved,manual_review
803074:0,803074,,,unresolved,manual_review
803208:0,803208,,,unresolved,manual_review
804320:0,804320,,,unresolved,manual_review
805186:0,805186,,,unresolved,manual_review
805252:0,805252,,,unresolved,manual_review
805256:0,805256,,,unresolved,manual_review
805500:0,805500,,,unresolved,manual_review
825492:0,825492,,,unresolved,manual_review
772178:0,772178,,,unresolved,manual_review
787340:0,787340,,,unresolved,manual_review
801660:0,801660,,,unresolved,manual_review
801728:0,801728,,,unresolved,manual_review
801774:0,801774,,,unresolved,manual_review
802699:0,802699,,,unresolved,manual_review
803079:0,803079,,,unresolved,manual_review
805080:0,805080,,,unresolved,manual_review
810504:0,810504,,,unresolved,manual_review
810504:1,810504,,,unresolved,manual_review
810504:2,810504,,,unresolved,manual_review
818856:0,818856,,,unresolved,manual_review
825404:0,825404,,,unresolved,manual_review
841560:0,841560,,,unresolved,manual_review
787198:0,787198,,,unresolved,manual_review
803122:0,803122,,,unresolved,manual_review
803151:0,803151,,,unresolved,manual_review
803676:0,803676,,,unresolved,manual_review
810331:0,810331,,,unresolved,manual_review
818625:0,818625,,,unresolved,manual_review
824735:0,824735,,,unresolved,manual_review
785917:0,785917,,,unresolved,manual_review
804144:0,804144,,,unresolved,manual_review
810141:0,810141,,,unresolved,manual_review
817779:0,817779,,,unresolved,manual_review
819189:0,819189,,,unresolved,manual_review
820048:0,820048,,,unresolved,manual_review
788077:0,788077,,,unresolved,manual_review
805195:0,805195,,,unresolved,manual_review
809994:0,809994,,,unresolved,manual_review
809994:1,809994,,,unresolved,manual_review
810218:0,810218,,,unresolved,manual_review
818266:0,818266,,,unresolved,manual_review
819511:0,819511,,,unresolved,manual_review
836429:0,836429,,,unresolved,manual_review
839271:0,839271,,,unresolved,manual_review
803704:0,803704,,,unresolved,manual_review
803721:0,803721,,,unresolved,manual_review
817803:0,817803,,,unresolved,manual_review
819261:0,819261,,,unresolved,manual_review
820079:0,820079,,,unresolved,manual_review
804023:0,804023,,,unresolved,manual_review
811363:0,811363,,,unresolved,manual_review
834161:0,834161,,,unresolved,manual_review
805225:0,805225,,,unresolved,manual_review
862471:0,862471,,,unresolved,manual_review
810367:0,810367,,,unresolved,manual_review
810367:1,810367,,,unresolved,manual_review
810367:2,810367,,,unresolved,manual_review
810573:0,810573,,,unresolved,manual_review
810573:1,810573,,,unresolved,manual_review
815559:0,815559,,,unresolved,manual_review
817934:0,817934,,,unresolved,manual_review
818066:0,818066,,,unresolved,manual_review
818521:0,818521,,,unresolved,manual_review
818737:0,818737,,,unresolved,manual_review
818750:0,818750,,,unresolved,manual_review
818843:0,818843,,,unresolved,manual_review
819587:0,819587,,,unresolved,manual_review
820033:0,820033,,,unresolved,manual_review
820133:0,820133,,,unresolved,manual_review
832237:0,832237,,,unresolved,manual_review
832606:0,832606,,,unresolved,manual_review
833125:0,833125,,,unresolved,manual_review
833707:0,833707,,,unresolved,manual_review
834238:0,834238,,,unresolved,manual_review
835184:0,835184,,,unresolved,manual_review
840415:0,840415,,,unresolved,manual_review
862151:0,862151,,,unresolved,manual_review
804135:0,804135,,,unresolved,manual_review
814747:0,814747,,,unresolved,manual_review
817908:0,817908,,,unresolved,manual_review
818260:0,818260,,,unresolved,manual_review
818563:0,818563,,,unresolved,manual_review
819127:0,819127,,,unresolved,manual_review
819353:0,819353,,,unresolved,manual_review
832219:0,832219,,,unresolved,manual_review
832248:0,832248,,,unresolved,manual_review
832352:0,832352,,,unresolved,manual_review
832601:0,832601,,,unresolved,manual_review
832889:0,832889,,,unresolved,manual_review
834148:0,834148,,,unresolved,manual_review
834175:0,834175,,,unresolved,manual_review
834177:0,834177,,,unresolved,manual_review
835193:0,835193,,,unresolved,manual_review
835275:0,835275,,,unresolved,manual_review
835294:0,835294,,,unresolved,manual_review
851146:0,851146,,,unresolved,manual_review
862551:0,862551,,,unresolved,manual_review
818823:0,818823,,,unresolved,manual_review
819543:0,819543,,,unresolved,manual_review
833933:0,833933,,,unresolved,manual_review
834195:0,834195,,,unresolved,manual_review
835067:0,835067,,,unresolved,manual_review
835161:0,835161,,,unresolved,manual_review
817493:0,817493,,,unresolved,manual_review
874986:0,874986,,,unresolved,manual_review
875573:0,875573,,,unresolved,manual_review
819169:0,819169,,,unresolved,manual_review
819179:0,819179,,,unresolved,manual_review
832294:0,832294,,,unresolved,manual_review
833184:0,833184,,,unresolved,manual_review
833632:0,833632,,,unresolved,manual_review
834317:0,834317,,,unresolved,manual_review
834759:0,834759,,,unresolved,manual_review
835087:0,835087,,,unresolved,manual_review
850925:0,850925,,,unresolved,manual_review
851006:0,851006,,,unresolved,manual_review
851054:0,851054,,,unresolved,manual_review
851701:0,851701,,,unresolved,manual_review
852161:0,852161,,,unresolved,manual_review
852873:0,852873,,,unresolved,manual_review
853116:0,853116,,,unresolved,manual_review
853282:0,853282,,,unresolved,manual_review
875102:0,875102,,,unresolved,manual_review
875555:0,875555,,,unresolved,manual_review
805098:0,805098,,,unresolved,manual_review
833973:0,833973,,,unresolved,manual_review
848645:0,848645,,,unresolved,manual_review
850539:0,850539,,,unresolved,manual_review
