component_id,grant_id,acronym,programme,grant_type,panel,call_year,start_date,start_year,end_date,starting_host,host_country,project_eu_contribution,french_component_amount,amount_method,is_synergy,resolution_status,evidence_grade,source_kind,match_mode,disposition,lab_name,rnsr_id,city,city_raw,code_postal,region,region_source,universities_at_start,universities_at_start_raw,n_universities_at_start,rto_tutelles,rto_tutelles_raw,other_etab_tutelles,other_etab_tutelles_raw,participants_nontutelle,participants_nontutelle_raw,tutelles_raw_v2,tutelle_source,tutelle_flags,flags,park_reason,evidence_ref,integration_note,dataset_version,source_snapshot_date,run_id,phase_d_route,phase_d_terminal_outcome
678304:0,678304,LEASP,Horizon 2020,Starting Grants,PE6 - Computer Science & Informatics,2015,2016-09-01,2016,2021-08-31,National Institute for Research in Computer Science and Automatic Control (INRIA),FR,1499894.0,1499894.0,ordinary_full_project,False,resolved,A,hal_author,v2_inherited,linked,Institut du Cerveau et de la Moëlle Epinière = Brain and Spine Institute,200918525B,PARIS,PARIS,75013,Île-de-France,v2_pipeline_geocode,Université Pierre et Marie Curie,Université Pierre et Marie Curie,1,Institut national de la sante et de la recherche medicale;Centre national de la recherche scientifique,Institut national de la santé et de la recherche médicale;Centre national de la recherche scientifique,Assistance Publique des Hôpitaux de Paris,Assistance Publique Hôpitaux de Paris,,,,historical_rnsr_2016,historical_nature_code_misaligned|tutelle_nature_via_name_lookup|tutelle_nature_via_sigle_lookup,,,https://api.archives-ouvertes.fr/search/?q=authFullName_t:,,1.5.0,2026-07-24,20260827T142619Z_integration,,
678610:0,678610,MECHANOGENOMICS,Horizon 2020,Starting Grants,LS5 - Neuroscience & Disorders of the Nervous Systems,2015,2016-09-01,2016,2022-02-28,Aix-Marseille University,FR,1491708.0,1491708.0,ordinary_full_project,False,resolved,A,hal_grant,v2_inherited,linked,Centre de recherche en neurobiologie - neurophysiologie de Marseille,201220261A,Marseille,Faculté de Médecine Secteur Nord Boulevard Pierre Dramard 13916 MARSEILLE CEDEX 20,,Provence-Alpes-Côte d'Azur,v2_pipeline_geocode,Université Aix-Marseille,Aix-Marseille université,1,Centre national de la recherche scientifique,Centre national de la recherche scientifique,,,Institut national de la sante et de la recherche medicale,Institut national de la santé et de la recherche médicale,,historical_rnsr_2016,,city_cedex_normalized,,https://api.archives-ouvertes.fr/search/?q=europeanProjectReference_s:678610,,1.5.0,2026-07-24,20260827T142619Z_integration,,
679278:0,679278,Emergent-BH,Horizon 2020,Starting Grants,PE2 - Fundamental Constituents of Matter,2015,2016-09-01,2016,2022-08-31,French Alternative Energies and Atomic Energy Commission,FR,1495476.0,1495476.0,ordinary_full_project,False,resolved,A,hal_grant,v2_inherited,linked,Institut de Physique Théorique - UMR CNRS 3681,201522372G,Saint-Aubin,GIF SUR YVETTE CEDEX - ST AUBIN,91191,Île-de-France,v2_pipeline_geocode,,,0,Commissariat à l'énergie atomique et aux énergies alternatives;Centre national de la recherche scientifique,Commissariat à l'énergie atomique et aux énergies alternatives;Centre national de la recherche scientifique,,,,,,historical_rnsr_2016,,city_cedex_normalized,,https://api.archives-ouvertes.fr/search/?q=europeanProjectReference_s:679278,,1.5.0,2026-07-24,20260827T142619Z_integration,,
680275:0,680275,MALIG,Horizon 2020,Starting Grants,PE1 - Mathematics,2015,2016-09-01,2016,2022-07-31,National Centre for Scientific Research (CNRS),FR,883250.0,883250.0,ordinary_full_project,False,resolved,A,hal_grant,v2_inherited,linked,"Laboratoire de Probabilités, Statistique et Modélisation",201822759P,Paris,PARIS CEDEX 05,75252,Île-de-France,v2_pipeline_geocode,Sorbonne Université;Universite de Paris,Sorbonne Université;Universite de Paris,2,Centre national de la recherche scientifique,Centre national de la recherche scientifique,,,,,,active_rnsr+crosswalk_fallback_no_historical,historical_fallback_to_active|tutelle_successor_projected|tutelle_renamed_since|tutelle_successor_projected|tutelle_successor_projected|tutelle_successor_projected,city_cedex_normalized,,https://api.archives-ouvertes.fr/search/?q=europeanProjectReference_s:680275,,1.5.0,2026-07-24,20260827T142619Z_integration,,
681415:0,681415,PERFORMART,Horizon 2020,Consolidator Grants,SH5 - Cultures & Cultural Production,2015,2016-09-01,2016,2022-08-31,National Centre for Scientific Research (CNRS),FR,1999182.94,1999182.94,ordinary_full_project,False,resolved,B,hal_author,v2_inherited,linked,Centre d'études supérieures de la Renaissance [Tours],201220231T,Tours,TOURS CEDEX 1,37020,Centre-Val de Loire,v2_pipeline_geocode,Université de Tours,Université François-Rabelais,1,Centre national de la recherche scientifique,Centre national de la recherche scientifique,Ministère de la Culture et de la Communication,Ministère de la Culture et de la Communication,,,,historical_rnsr_2016,historical_nature_code_misaligned|tutelle_nature_via_name_lookup,city_cedex_normalized,,https://api.archives-ouvertes.fr/search/?q=authFullName_t:,,1.5.0,2026-07-24,20260827T142619Z_integration,,
682367:0,682367,PaDyFlow,Horizon 2020,Consolidator Grants,PE8 - Products & Processes Engineering,2015,2016-09-01,2016,2022-02-28,National Centre for Scientific Research (CNRS),FR,1971750.0,1971750.0,ordinary_full_project,False,resolved,B,openalex_grant,sigle_city,linked,Laboratoire de Physique et Mécanique des Milieux Hétérogènes (PMMH),200512677M,PARIS,PARIS,75005,Île-de-France,rnsr_postal,Université Paris Diderot;Université Pierre et Marie Curie,Université Paris Diderot;Université Pierre et Marie Curie,2,Centre national de la recherche scientifique,Centre national de la recherche scientifique,Ecole Supérieure de Physique et Chimie Industrielle de la Ville de Paris,École supérieure de physique et de chimie industrielles de la ville de Paris,,,,historical_rnsr_2016,historical_fallback_to_active,v2_relink_needs_review|phase_e_located,,https://api.openalex.org/works?filter=awards.funder_award_id:682367,,1.5.0,2026-07-24,20260827T142619Z_integration,,
682387:0,682387,REVOLINC,Horizon 2020,Consolidator Grants,LS9 - Biotechnology & Biosystems Engineering,2015,2016-09-01,2016,2021-08-31,Organisation for International Cooperation and Agricultural Research for Development (CIRAD),FR,1993281.0,1993281.0,ordinary_full_project,False,non_french_at_start,B,hal_author,,no_french_attribution,,,,,,,,,,0,,,,,,,,,,no_rnsr_id|tutelles_unbucketed|no_region|foreign_site_from_phase_e|non_french_excluded_from_totals,,https://api.archives-ouvertes.fr/search/?q=authFullName_t:,,1.5.0,2026-07-24,20260827T142619Z_integration,,
682778:0,682778,ISOREE,Horizon 2020,Consolidator Grants,PE10 - Earth System Science,2015,2016-09-01,2016,2022-02-28,National Centre for Scientific Research (CNRS),FR,2200000.0,2200000.0,ordinary_full_project,False,resolved,A,hal_grant,v2_inherited,linked,Laboratoire Magmas et Volcans,200817617U,Clermont-Ferrand,CLERMONT FERRAND CEDEX 1,63038,Auvergne-Rhône-Alpes,v2_pipeline_geocode,Université Blaise Pascal;Université Jean Monnet Saint-Étienne,Université Blaise Pascal;Université Jean Monnet Saint-Étienne,2,Institut de recherche pour le developpement,Institut de recherche pour le développement,,,,,,historical_rnsr_2016,,city_cedex_normalized,,https://api.archives-ouvertes.fr/search/?q=europeanProjectReference_s:682778,,1.5.0,2026-07-24,20260827T142619Z_integration,,
682955:0,682955,bioSPINspired,Horizon 2020,Consolidator Grants,PE3 - Condensed Matter Physics,2015,2016-09-01,2016,2022-07-31,National Centre for Scientific Research (CNRS),FR,1907767.0,1907767.0,ordinary_full_project,False,resolved,B,hal_author,region_only_no_rnsr_link,linked_no_rnsr_id,Institut d'électronique fondamentale,,Gif-sur-Yvette,bat. 220 Av Georges Clémenceau 91405 ORSAY CEDEX,,Île-de-France,openalex_geo,,,0,,,,,,,,v2_unbucketed,,no_rnsr_id|tutelles_unbucketed|phase_e_located,,https://api.archives-ouvertes.fr/search/?q=authFullName_t:,,1.5.0,2026-07-24,20260827T142619Z_integration,,
682978:0,682978,EXCITERS,Horizon 2020,Consolidator Grants,PE2 - Fundamental Constituents of Matter,2015,2016-09-01,2016,2021-12-31,National Centre for Scientific Research (CNRS),FR,1691865.0,1691865.0,ordinary_full_project,False,resolved,A,hal_grant,v2_inherited,linked,Centre d'Etudes Lasers Intenses et Applications,199911792B,Talence,TALENCE CEDEX,33405,Nouvelle-Aquitaine,v2_pipeline_geocode,Université de Bordeaux,Université de Bordeaux,1,Commissariat à l'énergie atomique et aux énergies alternatives;Centre national de la recherche scientifique,Commissariat à l'énergie atomique et aux énergies alternatives;Centre national de la recherche scientifique,,,,,,historical_rnsr_2016,,city_cedex_normalized,,https://api.archives-ouvertes.fr/search/?q=europeanProjectReference_s:682978,,1.5.0,2026-07-24,20260827T142619Z_integration,,
